Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count
2024,8,DE,Preliminary,"85,822","547,774","471,167"
2024,8,FL,Preliminary,"2,050,512","15,048,676","10,438,831"
2024,8,GA,Preliminary,"1,005,326","6,739,658","4,799,689"
2024,8,HI,Preliminary,"102,526","243,523","446,274"
2024,8,IA,Preliminary,"210,106","1,406,813","1,460,918"
2024,8,ID,Preliminary,"102,057","845,410","868,889"
2024,8,IL,Preliminary,"773,826","4,931,915","5,323,212"
2024,8,IN,Preliminary,"520,045","3,496,528","2,989,281"
2024,8,KS,Preliminary,"239,031","1,649,365","1,336,454"
2024,8,KY,Preliminary,"341,998","2,662,194","2,010,749"
2024,8,LA,Preliminary,"417,611","3,598,397","2,159,291"
2024,8,MA,Preliminary,"558,468","1,892,526","2,915,676"
2024,8,MD,Preliminary,"480,564","2,692,924","2,447,881"
2024,8,ME,Preliminary,"101,407","433,574","754,090"
2024,8,MI,Preliminary,"679,300","3,436,325","4,525,277"
2024,8,MN,Preliminary,"339,078","2,060,068","2,598,120"
2024,8,MO,Preliminary,"551,981","3,761,972","2,856,916"
2024,8,MS,Preliminary,"269,848","2,104,766","1,351,405"
2024,8,MT,Preliminary,"64,305","483,483","559,330"
2024,8,NC,Preliminary,"866,735","6,233,739","5,077,192"
2024,8,ND,Preliminary,"46,946","369,056","397,973"
2024,8,NE,Preliminary,"127,523","1,020,407","911,415"
2024,8,NH,Preliminary,"108,668","475,585","655,993"
2024,8,NJ,Preliminary,"740,459","3,585,702","3,748,140"
2024,8,NM,Preliminary,"125,610","836,720","914,437"
2024,8,NV,Preliminary,"267,288","1,947,190","1,313,763"
2024,8,NY,Preliminary,"1,427,303","5,679,643","7,405,980"
2024,8,OH,Preliminary,"866,544","5,480,790","5,089,557"
2024,8,OK,Preliminary,"376,142","2,947,974","1,891,401"
2024,8,OR,Preliminary,"236,629","1,587,456","1,875,477"
2024,8,PA,Preliminary,"932,929","5,303,942","5,512,359"
2024,8,RI,Preliminary,"99,983","375,005","462,481"
