Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh
2009,4,HI,Final,"52,473","236,483","412,652",22.19
2009,4,IA,Final,"99,910","1,005,521","1,323,158",9.94
2009,4,ID,Final,"45,896","629,555","658,465",7.29
2009,4,IL,Final,"367,526","3,071,024","5,084,667",11.97
2009,4,IN,Final,"212,965","2,120,330","2,731,300",10.04
2009,4,KS,Final,"81,598","855,381","1,206,912",9.54
2009,4,KY,Final,"154,506","1,801,832","1,924,312",8.57
2009,4,LA,Final,"149,621","1,762,476","1,942,797",8.49
2009,4,MA,Final,"257,871","1,470,704","2,669,742",17.53
2009,4,MD,Final,"272,441","1,840,499","2,187,292",14.80
2009,4,ME,Final,"50,838","329,299","696,471",15.44
2009,4,MI,Final,"255,378","2,393,748","4,268,685",10.67
2009,4,MN,Final,"162,591","1,666,030","2,289,907",9.76
2009,4,MO,Final,"189,299","2,279,050","2,686,572",8.31
2009,4,MS,Final,"113,202","1,067,734","1,241,166",10.60
2009,4,MT,Final,"34,158","391,468","466,428",8.73
2009,4,NC,Final,"364,787","3,587,137","4,166,764",10.17
2009,4,ND,Final,"26,523","360,484","321,673",7.36
2009,4,NE,Final,"55,374","685,933","797,852",8.07
2009,4,NH,Final,"58,477","346,964","589,289",16.85
2009,4,NJ,Final,"305,413","1,935,471","3,468,392",15.78
2009,4,NM,Final,"41,098","428,114","844,854",9.60
2009,4,NV,Final,"83,731","645,793","1,054,781",12.97
2009,4,NY,Final,"579,133","3,509,997","6,912,629",16.50
2009,4,OH,Final,"376,495","3,422,973","4,888,313",11.00
2009,4,OK,Final,"114,306","1,334,310","1,640,525",8.57
2009,4,OR,Final,"132,917","1,553,663","1,622,649",8.56
2009,4,PA,Final,"454,842","3,929,917","5,238,660",11.57
2009,4,RI,Final,"33,025","209,731","436,407",15.75
